stage,matches,seed,heroLevel,heroes,enemyCount,heroCP,enemyCP,result,battleSeconds,firstHitSeconds,armyDefeatedSeconds,blows,heroDeaths,enemyDeaths
5,1,0,1,1,2,116.47,212.86,Loss,62.11,14.36,-1.00,19,1,1
5,2,0,1,2,5,232.93,537.06,Loss,60.34,17.87,-1.00,42,2,4
5,3,0,1,4,5,465.87,537.06,Loss,62.62,17.93,-1.00,78,6,4
5,4,0,1,6,5,708.83,537.06,Win,48.30,14.21,39.30,80,4,6
5,5,0,1,8,5,946.78,537.06,Win,50.75,14.08,40.21,90,5,6
5,6,0,1,12,5,1412.64,537.06,Win,51.19,14.06,40.21,87,4,11
6,1,0,2,1,2,141.37,238.40,Loss,36.87,14.66,-1.00,22,2,1
6,2,0,2,2,5,282.73,620.21,Loss,48.35,14.61,-1.00,41,3,2
6,3,0,2,4,5,565.47,620.21,Loss,52.24,14.60,-1.00,73,4,2
6,4,0,2,6,5,854.30,620.21,Win,49.76,14.57,40.13,91,5,6
6,5,0,2,10,5,1438.07,620.21,Win,50.50,14.51,40.55,94,5,8
7,1,0,2,1,3,141.37,420.00,Loss,23.00,14.51,-1.00,15,1,0
7,2,0,2,2,3,288.83,420.00,Loss,27.68,14.63,-1.00,36,2,0
7,3,0,2,4,6,571.57,839.99,Loss,49.21,14.65,-1.00,68,5,3
7,4,0,2,5,6,712.93,839.99,Loss,53.36,14.54,-1.00,88,9,3
7,5,0,2,7,6,995.67,839.99,Loss,55.75,14.62,-1.00,114,8,3
7,6,0,2,9,6,1284.50,839.99,Win,63.62,14.63,51.64,135,10,6
7,7,0,2,13,6,1849.97,839.99,Win,59.57,14.59,48.04,124,7,8
8,1,0,2,1,3,141.37,449.40,Loss,23.12,14.15,-1.00,15,1,0
8,2,0,2,2,3,288.83,449.40,Loss,28.06,14.19,-1.00,34,2,0
8,3,0,2,4,6,577.67,898.79,Loss,51.06,14.18,-1.00,68,5,4
8,4,0,2,6,6,860.40,898.79,Loss,55.57,14.13,-1.00,101,8,3
8,5,0,2,8,6,1143.13,898.79,Loss,64.24,14.19,-1.00,132,13,5
8,6,0,2,12,6,1720.80,898.79,Win,53.33,14.12,44.42,111,4,11
9,1,0,2,1,3,141.37,540.29,Loss,23.08,14.15,-1.00,15,1,0
9,2,0,2,3,3,430.20,540.29,Loss,29.03,14.21,-1.00,54,4,0
9,3,0,2,5,3,719.03,540.29,Loss,32.37,14.16,-1.00,81,9,3
9,4,0,2,7,7,1007.87,1222.42,Loss,57.29,14.21,-1.00,115,7,4
9,5,0,2,9,7,1290.60,1222.42,Loss,59.89,14.12,-1.00,159,12,7
9,6,0,2,13,7,1856.07,1222.42,Win,68.25,14.13,54.59,197,13,18
10,1,0,3,1,3,171.20,615.93,Loss,23.12,14.18,-1.00,15,1,0
10,2,0,3,2,3,342.40,615.93,Loss,27.17,14.18,-1.00,33,2,0
10,3,0,3,4,3,692.21,615.93,Loss,37.54,14.27,-1.00,68,4,3
10,4,0,3,6,7,1034.62,1393.56,Loss,55.68,14.11,-1.00,107,9,4
10,5,0,3,8,7,1384.43,1393.56,Loss,60.08,14.23,-1.00,135,9,5
10,6,0,3,11,7,1898.03,1393.56,Win,61.48,14.17,51.64,172,11,20
10,7,0,3,15,7,2582.83,1393.56,Win,63.86,14.20,54.73,184,12,14
